sample_id,Sp1,Sp2,Sp3,Sp4,Sp5,Sp6,Sp7,Sp8,Sp9,Sp10,Sp11,Sp12,Sp13,Sp14,Sp15,Sp16,Sp17,Sp18,Sp19,Sp20,Sp21,Sp22,Sp23,Sp24,Sp25,Sp26,Sp27,Sp28,Sp29,Sp30,Sp31,Sp32,Sp33,Sp34,Sp35,Sp36,Sp37,Sp38,Sp39
MMRF_1092_1_BM,-0.488879678,1.417742301,-0.774690394,0.128014448,0.234298483,-0.002301183,0.689267555,0.464429276,0.023637176,0.293373645,-0.401831149,0.334827685,1.144974576,-0.517606483,-0.317500696,0.475189648,-0.991072941,1.186787428,-0.501084643,0.029922971,0.426546885,0.506746282,-1.065935169,-0.369122616,-0.478573093,0.086205533,-0.348677672,0.163089309,-0.138760426,0.323764586,0.812114673,1.018683626,1.300862214,-0.137925992,-0.998043685,0.487262188,0.430093239,0.289159677,0.963352456
MMRF_1098_1_BM,0.012201636,-1.13182294,-0.528866,-0.735117576,1.123591698,-0.255123712,-0.018677726,0.666882106,0.466526097,1.764329196,1.319071999,0.688838023,0.678158455,-0.687844063,0.615924189,-1.653725447,-0.161281946,-0.113065883,2.473915065,-1.1514769,1.355861225,1.265126679,1.393302749,-0.299229099,0.690318089,0.279405661,-1.126257938,-0.024921733,-1.275942426,1.067606315,-0.049605974,0.180299461,2.141772966,0.740800718,-0.432653237,-0.063899099,-0.498292896,0.223648551,1.707443592
MMRF_1099_1_BM,-0.853208787,1.420397031,0.005285636,1.154880209,-1.144725603,0.167421249,-0.051317228,0.068023843,-2.639796703,-0.655691362,-0.442114554,0.343346518,0.416860604,-1.840433807,0.084294505,-0.33101106,-0.30415774,-0.840488078,0.120769023,-0.556950068,0.401219127,-0.646244658,0.048218226,1.381057202,-0.160184817,0.705407405,1.106417485,0.160079604,2.546301749,0.5412403,0.980956327,-0.098812715,1.549948076,1.568139697,0.657324362,-0.604606516,-1.087040763,-0.18093567,-1.069613664
MMRF_1100_1_BM,1.178587235,-0.224466025,-1.894395003,0.586021047,0.108386041,0.683253511,-0.331052521,-1.094159957,0.361495601,-1.606310107,-0.627924256,0.117062704,1.133590924,-0.690743179,0.575517883,0.334712354,-0.845872416,-1.024500916,-1.40362161,-1.854589547,-0.004934492,-0.162457142,1.099617237,0.426875545,-0.309061818,0.404644249,0.578764755,0.286132235,-0.451156249,-1.143035443,-2.312382592,-0.286171249,0.928053028,-1.492227584,0.359785639,0.038036136,0.491451498,0.398671405,-0.361911136
MMRF_1107_1_BM,-1.20137321,-0.955335121,1.702408852,0.020069623,0.209361828,0.975532991,-0.33677131,1.633161459,0.614092858,-0.457437193,-0.459880679,-0.740965159,0.32862983,-0.464699265,-2.047951123,-0.7130483,0.094004275,-0.031822663,0.622272774,1.852329157,0.930263614,0.344557794,1.136763604,-1.247305841,0.851649242,-1.377105514,-1.260697022,-0.566479109,0.272997074,-1.009714322,-1.89249713,-1.103561725,-0.36061304,-0.536840808,-0.409379441,-0.471048608,0.245519034,-0.881259899,0.900536684
MMRF_1108_1_BM,-0.892191583,1.30829337,-0.949102715,0.175208651,0.05038645,-0.569799309,0.597503833,-0.382021877,-0.528751614,0.207435322,0.250208534,0.244484179,0.015372758,-2.601638314,-0.717943064,0.008233929,0.300695424,0.713502328,1.626616627,0.724598131,-0.615615381,0.680223834,0.156641573,1.395878211,0.460454576,0.299836733,1.14978526,2.245142205,0.30388215,0.183517076,-0.003570566,0.101299841,0.129715479,-0.359882638,0.737262463,-0.952985696,0.222680651,-0.262559747,-0.46382947
MMRF_1128_1_BM,-1.173806836,-0.202037944,0.735691883,-1.199870604,-1.713220793,1.433799134,-0.720170967,-1.389431405,-0.263075138,0.238490123,2.252987491,-0.637090124,-0.635638999,0.662027388,-0.529236875,-0.827653833,-0.433786971,-0.930434427,-0.106518488,0.11509445,-1.582001305,-0.302644615,0.727311675,-1.253108143,0.610724511,1.561272363,1.222431639,1.636511166,0.272263483,0.656747408,-2.236403012,0.253989421,1.948927821,1.372647998,-0.00448342,-0.599569357,1.334494186,0.153896662,0.220351284
MMRF_1129_1_BM,0.021435838,-1.257657563,-0.352104498,-0.670256432,0.038100633,-0.022940203,0.564572854,-1.200978847,-0.615210208,0.807932874,0.896138169,-0.199956157,0.100843732,-0.783343002,1.069506818,0.902826273,-0.160653473,0.896735614,0.294273825,-0.800621409,2.087789841,-0.42038267,-0.418085646,0.305788906,0.325863108,0.847783506,-1.709233203,1.231739084,0.191441117,1.56696018,0.010574773,-0.520407519,-0.726117704,0.393884332,-0.706087613,-0.030615323,-0.063657456,-0.121771555,-0.515406595
MMRF_1130_1_BM,-1.476730017,1.129867048,-0.173354489,-0.535871427,-0.424614375,-0.221431827,1.527087222,0.337958407,1.168942044,0.56179722,-0.095574246,-0.481645802,0.781111599,0.003344327,0.932538026,0.05541899,-0.621929035,1.220153675,-1.04673226,-0.033766644,-0.794401952,-1.652880522,0.941639936,-0.767200616,0.598257725,-0.800685123,-0.650279607,2.308098496,-0.844197331,0.546980074,0.604079282,-0.999867526,1.848140778,0.165378592,-0.6659169,-0.443875324,0.158916743,-0.178903636,-0.851539692
MMRF_1137_1_BM,1.236523971,-0.62115247,-1.473065044,0.043563694,-0.357590586,0.582947703,-1.036202218,1.489017551,-0.530762548,-0.485302004,0.148128901,-0.36704829,0.537380892,-0.607233743,-0.344661183,-0.288282488,-0.675681922,0.667063918,0.796112555,-0.277054133,-0.58849835,-1.531062411,0.92523103,1.40611865,-0.043117104,-0.253995577,-1.171474685,-0.53588403,0.815103691,-0.127929325,0.203130662,0.297759218,0.420444118,-0.247038466,-0.767655952,0.468591199,0.591429779,-0.388939993,0.839456505
