pc,value,idx,selected,perpcept,y,x,dist,propvar,cumulpropvar
PC207,1.85105770642739,206,Not used,-572.080620033623,178.271450051495,269.322172712593,187.440263530094,0.000588570467408575,0.875225224113676
PC208,1.83372684025713,207,Not used,-574.884027005327,177.951507508321,270.213556987272,187.11874960684,0.000583059868810266,0.875808283982486
PC209,1.82248598206478,208,Not used,-577.681343969054,177.632259995395,271.103004854786,186.791503715564,0.00057948567599209,0.876387769658479
PC210,1.80587363130144,209,Not used,-580.484032425351,177.312399453747,271.994160666976,186.469313519414,0.000574203539719632,0.876961973198198
PC211,1.7977475985054,210,Not used,-583.278234563682,176.993507424405,272.88261813017,186.139135927615,0.00057161975051396,0.877533592948712
PC212,1.78406170226898,211,Not used,-586.077996565452,176.673980868266,273.772843433314,185.81419132723,0.000567268122622077,0.878100861071334
PC213,1.77980746119843,212,Not used,-588.868326912057,176.355530712296,274.660069803665,185.480369571672,0.000565915425379484,0.878666776496714
PC214,1.77438347361222,213,Not used,-591.659827005178,176.036947057452,275.54766811204,185.147648791622,0.000564190790378777,0.879230967287093
PC215,1.76100886512039,214,Not used,-594.459277719204,175.71745602744,276.43779443669,184.822411204526,0.000559938140910254,0.879790905428003
PC216,1.75325458199457,215,Not used,-597.253108107864,175.398606424523,277.326133696636,184.491883718732,0.000557472554868319,0.880348377982871
PC217,1.74001439516183,216,Not used,-600.052424400231,175.079130735561,278.216217279952,184.166519612813,0.000553262646703025,0.880901640629574
PC218,1.73451354700731,217,Not used,-602.844001353919,174.760538308902,279.103840027269,183.833871174592,0.00055151357277723,0.881453154202351
PC219,1.72428315086685,218,Not used,-605.640307855594,174.4414061163,279.992966603586,183.505674227719,0.000548260670926977,0.882001414873278
PC220,1.71913555006748,219,Not used,-608.431531561928,174.122854004464,280.880477030737,183.172693310042,0.000546623917087266,0.882548038790366
PC221,1.70648846833555,220,Not used,-611.230254749194,173.80344600441,281.770372027607,182.846770968487,0.000542602595234107,0.8830906413856
PC222,1.69307638751309,221,Not used,-614.02974293555,173.483950697818,282.660510267132,182.521568650672,0.000538338030898167,0.883628979416498
PC223,1.67741077861803,222,Not used,-616.83148464998,173.164198204342,283.551365048889,182.198487372912,0.000533356924843187,0.884162336341341
PC224,1.67331887091277,223,Not used,-619.621652663219,172.845766574884,284.438539802971,181.864512827791,0.000532055843832955,0.884694392185174
PC225,1.67156821974198,224,Not used,-622.409479419924,172.527602144435,285.324970120273,181.528334671831,0.000531499199070188,0.885225891384244
PC226,1.66683072952978,225,Not used,-625.200293015671,172.209096837016,286.212350146761,181.194967754533,0.000529992845800455,0.885755884230045
PC227,1.65515002439278,226,Not used,-627.998049826342,171.889799125973,287.101937870049,180.868135850994,0.000526278797309007,0.886282163027354
PC228,1.64440326927102,227,Not used,-630.794872686998,171.570608003216,287.991228630261,180.540424905646,0.000522861711681055,0.886805024739035
PC229,1.64049568762292,228,Not used,-633.58485637418,171.252197410213,288.878344775175,180.206276871251,0.000521619239796428,0.887326643978831
PC230,1.62749104810875,229,Not used,-636.383937119229,170.932748603402,289.768353462774,179.880691066164,0.000517484227294787,0.887844128206126
PC231,1.61296554807018,230,Not used,-639.184538724801,170.613126226363,290.658845730235,179.556536708117,0.000512865635277176,0.888356993841403
